Male_parent,Female_parent,Replicate,White_Phenotype,Fluorescence,Number
NanosGD/w+,w+/w+,8,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,8,Red Eyes,DsRed negative,147
NanosGD/w+,w+/w+,8,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,9,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,9,Red Eyes,DsRed positive,211
NanosGD/w+,w+/w+,9,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,9,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,9,Red Eyes,DsRed negative,274
NanosGD/w+,w+/w+,9,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,10,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,10,Red Eyes,DsRed positive,93
NanosGD/w+,w+/w+,10,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,10,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,10,Red Eyes,DsRed negative,110
NanosGD/w+,w+/w+,10,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,1,White Eyes,DsRed positive,136
w+/w+,NanosGD/w+,1,Red Eyes,DsRed positive,123
w+/w+,NanosGD/w+,1,Mosaic Eyes,DsRed positive,18
w+/w+,NanosGD/w+,1,White Eyes,DsRed negative,32
w+/w+,NanosGD/w+,1,Red Eyes,DsRed negative,41
w+/w+,NanosGD/w+,1,Mosaic Eyes,DsRed negative,6
w+/w+,NanosGD/w+,2,White Eyes,DsRed positive,156
w+/w+,NanosGD/w+,2,Red Eyes,DsRed positive,66
w+/w+,NanosGD/w+,2,Mosaic Eyes,DsRed positive,6
